id_estudiante,nombre,email,telefono,residencia,habitacion,fecha_entrada,cuota_mensual
EST-0036,Estudiante 36,estudiante36@email.com,600000036,Residencia LowCost 16,197,2024-09-01,600.0
EST-0037,Estudiante 37,estudiante37@email.com,600000037,Residencia LowCost 17,114,2024-09-01,600.0
EST-0038,Estudiante 38,estudiante38@email.com,600000038,Residencia LowCost 18,463,2024-09-01,600.0
EST-0039,Estudiante 39,estudiante39@email.com,600000039,Residencia LowCost 19,217,2024-09-01,600.0
EST-0040,Estudiante 40,estudiante40@email.com,600000040,Residencia LowCost 20,503,2024-09-01,600.0
EST-0041,Estudiante 41,estudiante41@email.com,600000041,Residencia Sol,582,2024-09-01,1200.0
EST-0042,Estudiante 42,estudiante42@email.com,600000042,Residencia Nova,501,2024-09-01,1200.0
EST-0043,Estudiante 43,estudiante43@email.com,600000043,Residencia Elite,428,2024-09-01,1200.0
EST-0044,Estudiante 44,estudiante44@email.com,600000044,Residencia Royal,304,2024-09-01,1200.0
EST-0045,Estudiante 45,estudiante45@email.com,600000045,Residencia Zenith,572,2024-09-01,1200.0
EST-0046,Estudiante 46,estudiante46@email.com,600000046,Residencia Standard 6,336,2024-09-01,850.0
EST-0047,Estudiante 47,estudiante47@email.com,600000047,Residencia Standard 7,282,2024-09-01,850.0
EST-0048,Estudiante 48,estudiante48@email.com,600000048,Residencia Standard 8,367,2024-09-01,850.0
EST-0049,Estudiante 49,estudiante49@email.com,600000049,Residencia Standard 9,568,2024-09-01,850.0
EST-0050,Estudiante 50,estudiante50@email.com,600000050,Residencia Standard 10,116,2024-09-01,850.0
EST-0051,Estudiante 51,estudiante51@email.com,600000051,Residencia Standard 11,405,2024-09-01,850.0
EST-0052,Estudiante 52,estudiante52@email.com,600000052,Residencia Standard 12,157,2024-09-01,850.0
EST-0053,Estudiante 53,estudiante53@email.com,600000053,Residencia Standard 13,380,2024-09-01,850.0
EST-0054,Estudiante 54,estudiante54@email.com,600000054,Residencia Standard 14,202,2024-09-01,850.0
EST-0055,Estudiante 55,estudiante55@email.com,600000055,Residencia Standard 15,207,2024-09-01,850.0
EST-0056,Estudiante 56,estudiante56@email.com,600000056,Residencia LowCost 16,163,2024-09-01,600.0
EST-0057,Estudiante 57,estudiante57@email.com,600000057,Residencia LowCost 17,225,2024-09-01,600.0
EST-0058,Estudiante 58,estudiante58@email.com,600000058,Residencia LowCost 18,411,2024-09-01,600.0
EST-0059,Estudiante 59,estudiante59@email.com,600000059,Residencia LowCost 19,117,2024-09-01,600.0
EST-0060,Estudiante 60,estudiante60@email.com,600000060,Residencia LowCost 20,160,2024-09-01,600.0
EST-0061,Estudiante 61,estudiante61@email.com,600000061,Residencia Sol,502,2024-09-01,1200.0
EST-0062,Estudiante 62,estudiante62@email.com,600000062,Residencia Nova,170,2024-09-01,1200.0
EST-0063,Estudiante 63,estudiante63@email.com,600000063,Residencia Elite,383,2024-09-01,1200.0
EST-0064,Estudiante 64,estudiante64@email.com,600000064,Residencia Royal,597,2024-09-01,1200.0
EST-0065,Estudiante 65,estudiante65@email.com,600000065,Residencia Zenith,289,2024-09-01,1200.0
EST-0066,Estudiante 66,estudiante66@email.com,600000066,Residencia Standard 6,145,2024-09-01,850.0
EST-0067,Estudiante 67,estudiante67@email.com,600000067,Residencia Standard 7,401,2024-09-01,850.0
EST-0068,Estudiante 68,estudiante68@email.com,600000068,Residencia Standard 8,336,2024-09-01,850.0
EST-0069,Estudiante 69,estudiante69@email.com,600000069,Residencia Standard 9,492,2024-09-01,850.0
EST-0070,Estudiante 70,estudiante70@email.com,600000070,Residencia Standard 10,243,2024-09-01,850.0
EST-0071,Estudiante 71,estudiante71@email.com,600000071,Residencia Standard 11,327,2024-09-01,850.0
EST-0072,Estudiante 72,estudiante72@email.com,600000072,Residencia Standard 12,517,2024-09-01,850.0
EST-0073,Estudiante 73,estudiante73@email.com,600000073,Residencia Standard 13,582,2024-09-01,850.0
EST-0074,Estudiante 74,estudiante74@email.com,600000074,Residencia Standard 14,396,2024-09-01,850.0
EST-0075,Estudiante 75,estudiante75@email.com,600000075,Residencia Standard 15,191,2024-09-01,850.0
EST-0076,Estudiante 76,estudiante76@email.com,600000076,Residencia LowCost 16,522,2024-09-01,600.0
EST-0077,Estudiante 77,estudiante77@email.com,600000077,Residencia LowCost 17,474,2024-09-01,600.0
EST-0078,Estudiante 78,estudiante78@email.com,600000078,Residencia LowCost 18,266,2024-09-01,600.0
EST-0079,Estudiante 79,estudiante79@email.com,600000079,Residencia LowCost 19,371,2024-09-01,600.0
EST-0080,Estudiante 80,estudiante80@email.com,600000080,Residencia LowCost 20,329,2024-09-01,600.0
EST-0081,Estudiante 81,estudiante81@email.com,600000081,Residencia Sol,373,2024-09-01,1200.0
EST-0082,Estudiante 82,estudiante82@email.com,600000082,Residencia Nova,510,2024-09-01,1200.0
EST-0083,Estudiante 83,estudiante83@email.com,600000083,Residencia Elite,509,2024-09-01,1200.0
EST-0084,Estudiante 84,estudiante84@email.com,600000084,Residencia Royal,334,2024-09-01,1200.0
EST-0085,Estudiante 85,estudiante85@email.com,600000085,Residencia Zenith,305,2024-09-01,1200.0
EST-0086,Estudiante 86,estudiante86@email.com,600000086,Residencia Standard 6,454,2024-09-01,850.0
EST-0087,Estudiante 87,estudiante87@email.com,600000087,Residencia Standard 7,138,2024-09-01,850.0
EST-0088,Estudiante 88,estudiante88@email.com,600000088,Residencia Standard 8,488,2024-09-01,850.0
EST-0089,Estudiante 89,estudiante89@email.com,600000089,Residencia Standard 9,484,2024-09-01,850.0
EST-0090,Estudiante 90,estudiante90@email.com,600000090,Residencia Standard 10,389,2024-09-01,850.0
EST-0091,Estudiante 91,estudiante91@email.com,600000091,Residencia Standard 11,321,2024-09-01,850.0
EST-0092,Estudiante 92,estudiante92@email.com,600000092,Residencia Standard 12,436,2024-09-01,850.0
EST-0093,Estudiante 93,estudiante93@email.com,600000093,Residencia Standard 13,558,2024-09-01,850.0
EST-0094,Estudiante 94,estudiante94@email.com,600000094,Residencia Standard 14,401,2024-09-01,850.0
EST-0095,Estudiante 95,estudiante95@email.com,600000095,Residencia Standard 15,115,2024-09-01,850.0
EST-0096,Estudiante 96,estudiante96@email.com,600000096,Residencia LowCost 16,489,2024-09-01,600.0
EST-0097,Estudiante 97,estudiante97@email.com,600000097,Residencia LowCost 17,270,2024-09-01,600.0
EST-0098,Estudiante 98,estudiante98@email.com,600000098,Residencia LowCost 18,538,2024-09-01,600.0
EST-0099,Estudiante 99,estudiante99@email.com,600000099,Residencia LowCost 19,414,2024-09-01,600.0
EST-0100,Estudiante 100,estudiante100@email.com,600000100,Residencia LowCost 20,530,2024-09-01,600.0
EST-0101,Estudiante 101,estudiante101@email.com,600000101,Residencia Sol,226,2024-09-01,1200.0
EST-0102,Estudiante 102,estudiante102@email.com,600000102,Residencia Nova,277,2024-09-01,1200.0
EST-0103,Estudiante 103,estudiante103@email.com,600000103,Residencia Elite,217,2024-09-01,1200.0
EST-0104,Estudiante 104,estudiante104@email.com,600000104,Residencia Royal,379,2024-09-01,1200.0
EST-0105,Estudiante 105,estudiante105@email.com,600000105,Residencia Zenith,372,2024-09-01,1200.0
EST-0106,Estudiante 106,estudiante106@email.com,600000106,Residencia Standard 6,408,2024-09-01,850.0
EST-0107,Estudiante 107,estudiante107@email.com,600000107,Residencia Standard 7,260,2024-09-01,850.0
EST-0108,Estudiante 108,estudiante108@email.com,600000108,Residencia Standard 8,183,2024-09-01,850.0
EST-0109,Estudiante 109,estudiante109@email.com,600000109,Residencia Standard 9,538,2024-09-01,850.0
EST-0110,Estudiante 110,estudiante110@email.com,600000110,Residencia Standard 10,244,2024-09-01,850.0
EST-0111,Estudiante 111,estudiante111@email.com,600000111,Residencia Standard 11,270,2024-09-01,850.0
EST-0112,Estudiante 112,estudiante112@email.com,600000112,Residencia Standard 12,251,2024-09-01,850.0
EST-0113,Estudiante 113,estudiante113@email.com,600000113,Residencia Standard 13,285,2024-09-01,850.0
EST-0114,Estudiante 114,estudiante114@email.com,600000114,Residencia Standard 14,139,2024-09-01,850.0
EST-0115,Estudiante 115,estudiante115@email.com,600000115,Residencia Standard 15,386,2024-09-01,850.0
EST-0116,Estudiante 116,estudiante116@email.com,600000116,Residencia LowCost 16,176,2024-09-01,600.0
EST-0117,Estudiante 117,estudiante117@email.com,600000117,Residencia LowCost 17,442,2024-09-01,600.0
EST-0118,Estudiante 118,estudiante118@email.com,600000118,Residencia LowCost 18,525,2024-09-01,600.0
EST-0119,Estudiante 119,estudiante119@email.com,600000119,Residencia LowCost 19,242,2024-09-01,600.0
EST-0120,Estudiante 120,estudiante120@email.com,600000120,Residencia LowCost 20,380,2024-09-01,600.0
EST-0121,Estudiante 121,estudiante121@email.com,600000121,Residencia Sol,241,2024-09-01,1200.0
EST-0122,Estudiante 122,estudiante122@email.com,600000122,Residencia Nova,389,2024-09-01,1200.0
EST-0123,Estudiante 123,estudiante123@email.com,600000123,Residencia Elite,427,2024-09-01,1200.0
EST-0124,Estudiante 124,estudiante124@email.com,600000124,Residencia Royal,559,2024-09-01,1200.0
EST-0125,Estudiante 125,estudiante125@email.com,600000125,Residencia Zenith,176,2024-09-01,1200.0
EST-0126,Estudiante 126,estudiante126@email.com,600000126,Residencia Standard 6,101,2024-09-01,850.0
EST-0127,Estudiante 127,estudiante127@email.com,600000127,Residencia Standard 7,280,2024-09-01,850.0
EST-0128,Estudiante 128,estudiante128@email.com,600000128,Residencia Standard 8,565,2024-09-01,850.0
EST-0129,Estudiante 129,estudiante129@email.com,600000129,Residencia Standard 9,474,2024-09-01,850.0
EST-0130,Estudiante 130,estudiante130@email.com,600000130,Residencia Standard 10,599,2024-09-01,850.0
EST-0131,Estudiante 131,estudiante131@email.com,600000131,Residencia Standard 11,420,2024-09-01,850.0
EST-0132,Estudiante 132,estudiante132@email.com,600000132,Residencia Standard 12,381,2024-09-01,850.0
EST-0133,Estudiante 133,estudiante133@email.com,600000133,Residencia Standard 13,516,2024-09-01,850.0
EST-0134,Estudiante 134,estudiante134@email.com,600000134,Residencia Standard 14,402,2024-09-01,850.0
EST-0135,Estudiante 135,estudiante135@email.com,600000135,Residencia Standard 15,377,2024-09-01,850.0
EST-0136,Estudiante 136,estudiante136@email.com,600000136,Residencia LowCost 16,384,2024-09-01,600.0
EST-0137,Estudiante 137,estudiante137@email.com,600000137,Residencia LowCost 17,393,2024-09-01,600.0
EST-0138,Estudiante 138,estudiante138@email.com,600000138,Residencia LowCost 18,179,2024-09-01,600.0
EST-0139,Estudiante 139,estudiante139@email.com,600000139,Residencia LowCost 19,358,2024-09-01,600.0
EST-0140,Estudiante 140,estudiante140@email.com,600000140,Residencia LowCost 20,570,2024-09-01,600.0
EST-0141,Estudiante 141,estudiante141@email.com,600000141,Residencia Sol,297,2024-09-01,1200.0
EST-0142,Estudiante 142,estudiante142@email.com,600000142,Residencia Nova,523,2024-09-01,1200.0
EST-0143,Estudiante 143,estudiante143@email.com,600000143,Residencia Elite,276,2024-09-01,1200.0
EST-0144,Estudiante 144,estudiante144@email.com,600000144,Residencia Royal,364,2024-09-01,1200.0
EST-0145,Estudiante 145,estudiante145@email.com,600000145,Residencia Zenith,227,2024-09-01,1200.0
EST-0146,Estudiante 146,estudiante146@email.com,600000146,Residencia Standard 6,258,2024-09-01,850.0
EST-0147,Estudiante 147,estudiante147@email.com,600000147,Residencia Standard 7,402,2024-09-01,850.0
EST-0148,Estudiante 148,estudiante148@email.com,600000148,Residencia Standard 8,113,2024-09-01,850.0
EST-0149,Estudiante 149,estudiante149@email.com,600000149,Residencia Standard 9,359,2024-09-01,850.0
EST-0150,Estudiante 150,estudiante150@email.com,600000150,Residencia Standard 10,560,2024-09-01,850.0
EST-0151,Estudiante 151,estudiante151@email.com,600000151,Residencia Standard 11,394,2024-09-01,850.0
EST-0152,Estudiante 152,estudiante152@email.com,600000152,Residencia Standard 12,309,2024-09-01,850.0
EST-0153,Estudiante 153,estudiante153@email.com,600000153,Residencia Standard 13,452,2024-09-01,850.0
EST-0154,Estudiante 154,estudiante154@email.com,600000154,Residencia Standard 14,117,2024-09-01,850.0
EST-0155,Estudiante 155,estudiante155@email.com,600000155,Residencia Standard 15,206,2024-09-01,850.0
EST-0156,Estudiante 156,estudiante156@email.com,600000156,Residencia LowCost 16,206,2024-09-01,600.0
EST-0157,Estudiante 157,estudiante157@email.com,600000157,Residencia LowCost 17,205,2024-09-01,600.0
EST-0158,Estudiante 158,estudiante158@email.com,600000158,Residencia LowCost 18,210,2024-09-01,600.0
EST-0159,Estudiante 159,estudiante159@email.com,600000159,Residencia LowCost 19,174,2024-09-01,600.0
EST-0160,Estudiante 160,estudiante160@email.com,600000160,Residencia LowCost 20,424,2024-09-01,600.0
EST-0161,Estudiante 161,estudiante161@email.com,600000161,Residencia Sol,328,2024-09-01,1200.0
EST-0162,Estudiante 162,estudiante162@email.com,600000162,Residencia Nova,538,2024-09-01,1200.0
EST-0163,Estudiante 163,estudiante163@email.com,600000163,Residencia Elite,394,2024-09-01,1200.0
EST-0164,Estudiante 164,estudiante164@email.com,600000164,Residencia Royal,591,2024-09-01,1200.0
EST-0165,Estudiante 165,estudiante165@email.com,600000165,Residencia Zenith,492,2024-09-01,1200.0
EST-0166,Estudiante 166,estudiante166@email.com,600000166,Residencia Standard 6,178,2024-09-01,850.0
EST-0167,Estudiante 167,estudiante167@email.com,600000167,Residencia Standard 7,233,2024-09-01,850.0
EST-0168,Estudiante 168,estudiante168@email.com,600000168,Residencia Standard 8,362,2024-09-01,850.0
EST-0169,Estudiante 169,estudiante169@email.com,600000169,Residencia Standard 9,106,2024-09-01,850.0
EST-0170,Estudiante 170,estudiante170@email.com,600000170,Residencia Standard 10,149,2024-09-01,850.0
EST-0171,Estudiante 171,estudiante171@email.com,600000171,Residencia Standard 11,399,2024-09-01,850.0
EST-0172,Estudiante 172,estudiante172@email.com,600000172,Residencia Standard 12,323,2024-09-01,850.0
EST-0173,Estudiante 173,estudiante173@email.com,600000173,Residencia Standard 13,201,2024-09-01,850.0
EST-0174,Estudiante 174,estudiante174@email.com,600000174,Residencia Standard 14,579,2024-09-01,850.0
EST-0175,Estudiante 175,estudiante175@email.com,600000175,Residencia Standard 15,173,2024-09-01,850.0
EST-0176,Estudiante 176,estudiante176@email.com,600000176,Residencia LowCost 16,586,2024-09-01,600.0
EST-0177,Estudiante 177,estudiante177@email.com,600000177,Residencia LowCost 17,189,2024-09-01,600.0
EST-0178,Estudiante 178,estudiante178@email.com,600000178,Residencia LowCost 18,539,2024-09-01,600.0
EST-0179,Estudiante 179,estudiante179@email.com,600000179,Residencia LowCost 19,449,2024-09-01,600.0
EST-0180,Estudiante 180,estudiante180@email.com,600000180,Residencia LowCost 20,223,2024-09-01,600.0
EST-0181,Estudiante 181,estudiante181@email.com,600000181,Residencia Sol,475,2024-09-01,1200.0
EST-0182,Estudiante 182,estudiante182@email.com,600000182,Residencia Nova,262,2024-09-01,1200.0
EST-0183,Estudiante 183,estudiante183@email.com,600000183,Residencia Elite,233,2024-09-01,1200.0
EST-0184,Estudiante 184,estudiante184@email.com,600000184,Residencia Royal,450,2024-09-01,1200.0
EST-0185,Estudiante 185,estudiante185@email.com,600000185,Residencia Zenith,565,2024-09-01,1200.0
EST-0186,Estudiante 186,estudiante186@email.com,600000186,Residencia Standard 6,170,2024-09-01,850.0
EST-0187,Estudiante 187,estudiante187@email.com,600000187,Residencia Standard 7,474,2024-09-01,850.0
EST-0188,Estudiante 188,estudiante188@email.com,600000188,Residencia Standard 8,422,2024-09-01,850.0
EST-0189,Estudiante 189,estudiante189@email.com,600000189,Residencia Standard 9,264,2024-09-01,850.0
EST-0190,Estudiante 190,estudiante190@email.com,600000190,Residencia Standard 10,480,2024-09-01,850.0
EST-0191,Estudiante 191,estudiante191@email.com,600000191,Residencia Standard 11,287,2024-09-01,850.0
EST-0192,Estudiante 192,estudiante192@email.com,600000192,Residencia Standard 12,178,2024-09-01,850.0
EST-0193,Estudiante 193,estudiante193@email.com,600000193,Residencia Standard 13,303,2024-09-01,850.0
EST-0194,Estudiante 194,estudiante194@email.com,600000194,Residencia Standard 14,585,2024-09-01,850.0
EST-0195,Estudiante 195,estudiante195@email.com,600000195,Residencia Standard 15,551,2024-09-01,850.0
EST-0196,Estudiante 196,estudiante196@email.com,600000196,Residencia LowCost 16,218,2024-09-01,600.0
EST-0197,Estudiante 197,estudiante197@email.com,600000197,Residencia LowCost 17,410,2024-09-01,600.0
EST-0198,Estudiante 198,estudiante198@email.com,600000198,Residencia LowCost 18,485,2024-09-01,600.0
EST-0199,Estudiante 199,estudiante199@email.com,600000199,Residencia LowCost 19,331,2024-09-01,600.0
EST-0200,Estudiante 200,estudiante200@email.com,600000200,Residencia LowCost 20,506,2024-09-01,600.0
EST-0201,Estudiante 201,estudiante201@email.com,600000201,Residencia Sol,195,2024-09-01,1200.0
EST-0202,Estudiante 202,estudiante202@email.com,600000202,Residencia Nova,140,2024-09-01,1200.0
EST-0203,Estudiante 203,estudiante203@email.com,600000203,Residencia Elite,577,2024-09-01,1200.0
EST-0204,Estudiante 204,estudiante204@email.com,600000204,Residencia Royal,362,2024-09-01,1200.0
EST-0205,Estudiante 205,estudiante205@email.com,600000205,Residencia Zenith,179,2024-09-01,1200.0
EST-0206,Estudiante 206,estudiante206@email.com,600000206,Residencia Standard 6,224,2024-09-01,850.0
EST-0207,Estudiante 207,estudiante207@email.com,600000207,Residencia Standard 7,443,2024-09-01,850.0
EST-0208,Estudiante 208,estudiante208@email.com,600000208,Residencia Standard 8,315,2024-09-01,850.0
EST-0209,Estudiante 209,estudiante209@email.com,600000209,Residencia Standard 9,262,2024-09-01,850.0
EST-0210,Estudiante 210,estudiante210@email.com,600000210,Residencia Standard 10,510,2024-09-01,850.0
EST-0211,Estudiante 211,estudiante211@email.com,600000211,Residencia Standard 11,461,2024-09-01,850.0
EST-0212,Estudiante 212,estudiante212@email.com,600000212,Residencia Standard 12,511,2024-09-01,850.0
EST-0213,Estudiante 213,estudiante213@email.com,600000213,Residencia Standard 13,547,2024-09-01,850.0
EST-0214,Estudiante 214,estudiante214@email.com,600000214,Residencia Standard 14,446,2024-09-01,850.0
EST-0215,Estudiante 215,estudiante215@email.com,600000215,Residencia Standard 15,436,2024-09-01,850.0
EST-0216,Estudiante 216,estudiante216@email.com,600000216,Residencia LowCost 16,402,2024-09-01,600.0
EST-0217,Estudiante 217,estudiante217@email.com,600000217,Residencia LowCost 17,386,2024-09-01,600.0
EST-0218,Estudiante 218,estudiante218@email.com,600000218,Residencia LowCost 18,217,2024-09-01,600.0
EST-0219,Estudiante 219,estudiante219@email.com,600000219,Residencia LowCost 19,106,2024-09-01,600.0
EST-0220,Estudiante 220,estudiante220@email.com,600000220,Residencia LowCost 20,554,2024-09-01,600.0
EST-0221,Estudiante 221,estudiante221@email.com,600000221,Residencia Sol,487,2024-09-01,1200.0
EST-0222,Estudiante 222,estudiante222@email.com,600000222,Residencia Nova,281,2024-09-01,1200.0
EST-0223,Estudiante 223,estudiante223@email.com,600000223,Residencia Elite,472,2024-09-01,1200.0
EST-0224,Estudiante 224,estudiante224@email.com,600000224,Residencia Royal,466,2024-09-01,1200.0
EST-0225,Estudiante 225,estudiante225@email.com,600000225,Residencia Zenith,564,2024-09-01,1200.0
EST-0226,Estudiante 226,estudiante226@email.com,600000226,Residencia Standard 6,365,2024-09-01,850.0
EST-0227,Estudiante 227,estudiante227@email.com,600000227,Residencia Standard 7,283,2024-09-01,850.0
EST-0228,Estudiante 228,estudiante228@email.com,600000228,Residencia Standard 8,290,2024-09-01,850.0
EST-0229,Estudiante 229,estudiante229@email.com,600000229,Residencia Standard 9,365,2024-09-01,850.0
EST-0230,Estudiante 230,estudiante230@email.com,600000230,Residencia Standard 10,344,2024-09-01,850.0
EST-0231,Estudiante 231,estudiante231@email.com,600000231,Residencia Standard 11,267,2024-09-01,850.0
EST-0232,Estudiante 232,estudiante232@email.com,600000232,Residencia Standard 12,234,2024-09-01,850.0
EST-0233,Estudiante 233,estudiante233@email.com,600000233,Residencia Standard 13,589,2024-09-01,850.0
EST-0234,Estudiante 234,estudiante234@email.com,600000234,Residencia Standard 14,135,2024-09-01,850.0
EST-0235,Estudiante 235,estudiante235@email.com,600000235,Residencia Standard 15,577,2024-09-01,850.0
EST-0236,Estudiante 236,estudiante236@email.com,600000236,Residencia LowCost 16,177,2024-09-01,600.0
EST-0237,Estudiante 237,estudiante237@email.com,600000237,Residencia LowCost 17,258,2024-09-01,600.0
EST-0238,Estudiante 238,estudiante238@email.com,600000238,Residencia LowCost 18,476,2024-09-01,600.0
EST-0239,Estudiante 239,estudiante239@email.com,600000239,Residencia LowCost 19,360,2024-09-01,600.0
EST-0240,Estudiante 240,estudiante240@email.com,600000240,Residencia LowCost 20,333,2024-09-01,600.0
EST-0241,Estudiante 241,estudiante241@email.com,600000241,Residencia Sol,416,2024-09-01,1200.0
EST-0242,Estudiante 242,estudiante242@email.com,600000242,Residencia Nova,319,2024-09-01,1200.0
EST-0243,Estudiante 243,estudiante243@email.com,600000243,Residencia Elite,418,2024-09-01,1200.0
EST-0244,Estudiante 244,estudiante244@email.com,600000244,Residencia Royal,417,2024-09-01,1200.0
EST-0245,Estudiante 245,estudiante245@email.com,600000245,Residencia Zenith,314,2024-09-01,1200.0
EST-0246,Estudiante 246,estudiante246@email.com,600000246,Residencia Standard 6,270,2024-09-01,850.0
EST-0247,Estudiante 247,estudiante247@email.com,600000247,Residencia Standard 7,270,2024-09-01,850.0
EST-0248,Estudiante 248,estudiante248@email.com,600000248,Residencia Standard 8,161,2024-09-01,850.0
EST-0249,Estudiante 249,estudiante249@email.com,600000249,Residencia Standard 9,499,2024-09-01,850.0
EST-0250,Estudiante 250,estudiante250@email.com,600000250,Residencia Standard 10,422,2024-09-01,850.0
EST-0251,Estudiante 251,estudiante251@email.com,600000251,Residencia Standard 11,592,2024-09-01,850.0
EST-0252,Estudiante 252,estudiante252@email.com,600000252,Residencia Standard 12,228,2024-09-01,850.0
EST-0253,Estudiante 253,estudiante253@email.com,600000253,Residencia Standard 13,594,2024-09-01,850.0
EST-0254,Estudiante 254,estudiante254@email.com,600000254,Residencia Standard 14,541,2024-09-01,850.0
EST-0255,Estudiante 255,estudiante255@email.com,600000255,Residencia Standard 15,564,2024-09-01,850.0
EST-0256,Estudiante 256,estudiante256@email.com,600000256,Residencia LowCost 16,409,2024-09-01,600.0
EST-0257,Estudiante 257,estudiante257@email.com,600000257,Residencia LowCost 17,180,2024-09-01,600.0
EST-0258,Estudiante 258,estudiante258@email.com,600000258,Residencia LowCost 18,232,2024-09-01,600.0
EST-0259,Estudiante 259,estudiante259@email.com,600000259,Residencia LowCost 19,542,2024-09-01,600.0
EST-0260,Estudiante 260,estudiante260@email.com,600000260,Residencia LowCost 20,159,2024-09-01,600.0
EST-0261,Estudiante 261,estudiante261@email.com,600000261,Residencia Sol,272,2024-09-01,1200.0
EST-0262,Estudiante 262,estudiante262@email.com,600000262,Residencia Nova,219,2024-09-01,1200.0
EST-0263,Estudiante 263,estudiante263@email.com,600000263,Residencia Elite,479,2024-09-01,1200.0
EST-0264,Estudiante 264,estudiante264@email.com,600000264,Residencia Royal,176,2024-09-01,1200.0
EST-0265,Estudiante 265,estudiante265@email.com,600000265,Residencia Zenith,354,2024-09-01,1200.0
EST-0266,Estudiante 266,estudiante266@email.com,600000266,Residencia Standard 6,434,2024-09-01,850.0
EST-0267,Estudiante 267,estudiante267@email.com,600000267,Residencia Standard 7,194,2024-09-01,850.0
EST-0268,Estudiante 268,estudiante268@email.com,600000268,Residencia Standard 8,458,2024-09-01,850.0
EST-0269,Estudiante 269,estudiante269@email.com,600000269,Residencia Standard 9,364,2024-09-01,850.0
EST-0270,Estudiante 270,estudiante270@email.com,600000270,Residencia Standard 10,421,2024-09-01,850.0
EST-0271,Estudiante 271,estudiante271@email.com,600000271,Residencia Standard 11,138,2024-09-01,850.0
EST-0272,Estudiante 272,estudiante272@email.com,600000272,Residencia Standard 12,153,2024-09-01,850.0
